match_id,team1,team2,venue,first_innings_team,is_team1_batting_first,home_advantage,h2h_win_rate,recent_form_t1,recent_form_t2,team1_overall_win_rate,team2_overall_win_rate,avg_score_venue,toss_venue_win_rate,venue_win_rate_t1,venue_win_rate_t2,t1_top_batsmen_avg,t2_top_batsmen_avg,t1_top_bowler_econ,t2_top_bowler_econ,team1_won
1243,New Zealand,Australia,Eden Park,Australia,0,0,0.5,0.5,0.5,0.5,0.5,160.9,0.52,0.5285,0.5,25.1,24.5,6.94,6.98,0
1242,England,Australia,The Rose Bowl,England,1,0,0.5,0.5,1,0.5,1,160.9,1,0.5285,0.5,25.1,24.5,6.94,6.98,1
1244,South Africa,New Zealand,New Wanderers Stadium,South Africa,1,0,0.5,0.5,0.5,0.5,0.5,160.9,1,0.5285,0.5,25.1,24.5,6.94,6.98,0
1247,Australia,South Africa,Brisbane Cricket Ground,Australia,1,1,0.5,0.5,0.5,0.5,0.5,156.9,0.667,0.5285,0.5,25.1,24.5,6.94,6.98,1
1249,South Africa,Australia,New Wanderers Stadium,South Africa,1,0,0,0.5,0.667,0.5,0.667,160.9,0.6,0.5285,0.5,25.1,24.5,6.94,6.98,1
1246,England,Sri Lanka,The Rose Bowl,Sri Lanka,0,0,0.5,1,0.5,1,0.5,160.9,0.667,0.5285,0.5,25.1,24.5,6.94,6.98,0
1245,England,Pakistan,County Ground,England,1,0,0.5,0.5,0.5,0.5,0.5,160.9,0.714,0.5285,0.5,25.1,24.5,6.94,6.98,0
1253,South Africa,India,New Wanderers Stadium,South Africa,1,0,0.5,0.333,0.5,0.333,0.5,160.9,0.625,0.5285,0.5,25.1,24.5,6.94,6.98,0
1251,New Zealand,Sri Lanka,Westpac Stadium,New Zealand,1,0,0.5,0.333,1,0.333,1,160.9,0.556,0.5285,0.5,25.1,24.5,6.94,6.98,0
1252,New Zealand,Sri Lanka,Eden Park,Sri Lanka,0,0,0,0.25,1,0.25,1,160.9,0.5,0.5285,0.5,25.1,24.5,6.94,6.98,1
1250,Australia,England,Sydney Cricket Ground,Australia,1,1,0,0.5,0.333,0.5,0.333,156.9,0.455,0.5285,0.5,25.1,24.5,6.94,6.98,1
1254,England,West Indies,Kennington Oval,West Indies,0,0,0.5,0.25,0.5,0.25,0.5,160.9,0.5,0.5285,0.5,25.1,24.5,6.94,6.98,0
1255,England,West Indies,Kennington Oval,West Indies,0,0,0,0.2,0.5,0.2,0.5,160.9,0.538,0.5285,0.5,25.1,24.5,6.94,6.98,1
1256,South Africa,West Indies,New Wanderers Stadium,West Indies,0,0,0.5,0.25,0.333,0.25,0.333,160.9,0.5,0.333,0.5,25.1,24.5,6.94,6.98,1
1259,Australia,Zimbabwe,Newlands,Australia,1,0,0.5,0.6,0.5,0.6,0.5,160.9,0.471,0.5285,0.5,25.1,24.5,6.94,6.98,0
1258,Pakistan,Scotland,Kingsmead,Pakistan,1,0,0.5,1,0.5,1,0.5,160.9,0.471,0.5285,0.5,30,24.5,7,6.98,1
1261,England,Zimbabwe,Newlands,England,1,0,0.5,0.333,1,0.333,1,160.9,0.45,0.5285,0.5,25.1,24.5,6.94,6.98,1
1263,Australia,England,Newlands,England,0,0,0.5,0.5,0.429,0.5,0.429,160.9,0.455,0.5285,0.5,25.1,24.5,6.94,6.98,1
1265,New Zealand,Sri Lanka,New Wanderers Stadium,New Zealand,1,0,0.5,0.5,0.75,0.5,0.75,181.5,0.333,0.5285,0.5,25.1,24.5,6.94,6.98,0
1269,South Africa,England,Newlands,South Africa,1,0,0.5,0.5,0.375,0.5,0.375,160.9,0.407,0.5285,0.5,25.1,24.5,6.94,6.98,1
1267,India,New Zealand,New Wanderers Stadium,New Zealand,0,0,0.5,0.5,0.429,0.5,0.429,179,0.286,0.5285,0.5,25.1,24.5,6.94,6.98,0
1270,Pakistan,Sri Lanka,New Wanderers Stadium,Pakistan,1,0,0.5,0.8,0.8,0.8,0.8,180.4,0.375,0.5285,0.5,22.25,24.5,7.38,6.98,1
1272,Australia,Pakistan,New Wanderers Stadium,Australia,1,0,0.5,0.625,0.833,0.625,0.833,181.3,0.444,0.5285,0.5,25.1,21.2,6.94,6.85,0
1271,England,New Zealand,Kingsmead,New Zealand,0,0,0.5,0.333,0.5,0.333,0.5,160.9,0.452,0.5285,0.5,25.1,24.5,6.94,6.98,0
1275,England,India,Kingsmead,India,0,0,0.5,0.3,0.333,0.3,0.333,160.9,0.471,0.5285,0.5,25.1,24.5,6.94,6.98,0
